Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,2.20,7.0,7.1,5.6,3,6.6,3.283333333,7451,POGR3,0.2843,2.118260485,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.06,5.4,6.4,6.7,4,6.2,3.083333333,3166,POGR4,0.2673,0.846244098,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.59,6.1,5.0,5.0,4,5.4,2.683333333,3597,POGR4,0.2673,0.961380274,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,Stump- POGR,0.20,7.0,7.2,7.9,3,7.4,3.683333333,852,Stump- POGR3,0.2843,0.242347629,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,ACRU,0.80,10.5,9.5,9.2,1,9.7,4.866666667,5953,ACRU1,0.5564,3.311998894,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,ACRU,1.33,7.3,7.2,6.7,2,7.1,3.533333333,5216,ACRU2,0.4090,2.133506856,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,ACRU,2.06,8.4,8.0,7.8,2,8.1,4.033333333,10528,ACRU2,0.4090,4.305946527,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,POGR,0.65,5.1,5.0,5.9,2,5.3,2.666666667,1452,POGR2,0.3780,0.548899068,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,POGR,2.65,5.0,6.0,7.2,2,6.1,3.033333333,7660,POGR2,0.3780,2.895528351,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,POGR,0.63,5.4,5.0,5.2,3,5.2,2.6,1338,POGR3,0.2843,0.380376763,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.33,7.5,6.5,5.2,2,6.4,3.2,1062,POGR2,0.3780,0.401287442,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.87,5.0,5.6,6.9,2,5.8,2.916666667,2325,POGR2,0.3780,0.878889997,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.06,8.5,9.3,8.9,2,8.9,4.45,6594,POGR2,0.3780,2.492685915,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.48,10.3,9.8,10.5,2,10.2,5.1,12093,POGR2,0.3780,4.571342277,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.24,12.0,11.1,10.9,2,11.3,5.666666667,12509,POGR2,0.3780,4.728448802,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,2.90,10.4,7.9,7.7,2,8.7,4.333333333,17108,POGR2,0.3780,6.46671715,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.85,10.6,10.7,12.0,2,11.1,5.55,8225,POGR2,0.3780,3.109185005,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.33,6.4,6.7,6.8,2,6.6,3.316666667,1140,POGR2,0.3780,0.43108138,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.21,9.7,8.4,8.3,3,8.8,4.4,7359,POGR3,0.2843,2.092268688,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,2.05,9.5,10.5,11.2,3,10.4,5.2,17414,POGR3,0.2843,4.95093564,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.97,16.9,14.0,15.4,3,15.4,7.716666667,36853,POGR3,0.2843,10.47737383,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.50,11.8,10.8,10.4,3,11.0,5.5,14255,POGR3,0.2843,4.052689866,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,Stump- POGR,0.50,11.6,10.9,10.9,3,11.1,5.566666667,4868,Stump- POGR3,0.2843,1.38384411,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,Stump- POGR,0.27,9.0,5.3,5.3,3,6.5,3.266666667,905,Stump- POGR3,0.2843,0.257335759,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,Stump- POGR,0.35,16.8,13.8,13.7,3,14.8,7.383333333,5994,Stump- POGR3,0.2843,1.704118254,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,0,POGR,1.28,6.2,6.5,7.0,1,6.6,3.283333333,4335,POGR1,0.5987,2.595368636,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,0,POGR,1.41,7.3,7.6,6.1,2,7.0,3.5,5426,POGR2,0.3780,2.051147414,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,0,POGR,0.30,5.3,5.5,6.2,4,5.7,2.833333333,757,POGR4,0.2673,0.202239242,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,1.32,6.7,7.1,6.4,3,6.7,3.366666667,4700,POGR3,0.2843,1.336290564,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,2.95,11.1,6.4,5.1,3,7.5,3.766666667,13149,POGR3,0.2843,3.738205102,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,3.17,7.5,10.6,10.1,3,9.4,4.7,21999,POGR3,0.2843,6.254343222,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,2.81,8.9,8.2,6.1,4,7.7,3.866666667,13199,POGR4,0.2673,3.528000357,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,1.54,8.1,6.7,7.5,4,7.4,3.716666667,6683,POGR4,0.2673,1.786392051,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,Stump- POGR,0.22,8.1,6.5,5.0,3,6.5,3.266666667,738,Stump- POGR3,0.2843,0.209680988,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,POGR,1.10,13.0,13.0,12.2,5,12.7,6.366666667,14008,POGR5,0.0680,0.952523492,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,QURU,0.66,5.0,5.0,5.0,2,5.0,2.5,1296,QURU2,0.5925,0.767824879,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,QURU,0.52,5.2,5.0,5.0,2,5.1,2.533333333,1048,QURU2,0.5925,0.621192561,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,Stump- PIST,0.31,9.8,21.2,26.9,4,19.3,9.65,9069,Stump- PIST4,0.2673,2.424181608,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,Stump- POGR,0.75,10.3,9.5,7.6,3,9.1,4.566666667,4914,Stump- POGR3,0.2843,1.396968523,,,,,,,,,,,,,,,,
BP80#1,7/8/2020,0,POGR,1.44,5.5,5.2,5.1,1,5.3,2.633333333,3137,POGR1,0.5987,1.878163067,,,,,,,,,,,,,,,,
BP80#1,7/8/2020,0,POGR,1.76,5.1,5.5,6.9,2,5.8,2.916666667,4704,POGR2,0.3780,1.777984362,,,,,,,,,,,,,,,,
BP80#1,7/8/2020,0,Stump- POGR,1.07,7.2,5.9,5.7,1,6.3,3.133333333,3300,Stump- POGR1,0.5987,1.975859713,,,,,,,,,,,,,,,,
BP80#1,7/8/2020,120,PIST,0.26,7.6,9.0,8.3,3,8.3,4.15,1407,PIST3,0.2843,0.399941318,,,,,,,,,,,,,,,,
BP80#1,7/8/2020,240,Unknown,0.31,5.0,5.2,5.6,4,5.3,2.633333333,675,Unknown4,0.2517,0.169983378,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,0,POGR,2.17,5.8,6.3,6.4,4,6.2,3.083333333,6481,POGR4,0.2673,1.73240537,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,0,POGR,4.07,7.8,8.3,7.6,5,7.9,3.95,19950,POGR5,0.0680,1.356586172,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,0,Stump- PIST,0.28,49.5,28.7,16.0,4,31.4,15.7,21682,Stump- PIST4,0.2673,5.795703609,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,0,Stump- POGR,1.05,9.5,8.0,7.6,3,8.4,4.183333333,5773,Stump- POGR3,0.2843,1.64119798,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,0,Unknown,0.43,5.7,5.6,5.8,3,5.7,2.85,1097,Unknown3,0.3356,0.368239185,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,120,POGR,0.25,5.0,5.0,5.3,2,5.1,2.55,511,POGR2,0.3780,0.193046549,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,120,POGR,0.27,6.0,5.8,5.2,2,5.7,2.833333333,681,POGR2,0.3780,0.257395398,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,120,POGR,4.05,7.4,7.4,8.7,2,7.8,3.916666667,19518,POGR2,0.3780,7.377851669,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,120,POGR,1.07,5.0,5.3,5.0,3,5.1,2.55,2186,POGR3,0.2843,0.621428076,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,120,POGR,1.50,5.1,5.3,7.7,3,6.0,3.016666667,4288,POGR3,0.2843,1.219193505,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,120,POGR,0.81,6.4,7.8,9.4,5,7.9,3.933333333,3937,POGR5,0.0680,0.267710441,,,,,,,,,,,,,,,,
BP80#2,7/8/2020,240,Stump- PIST,0.23,11.1,14.9,21.4,4,15.8,7.9,4510,Stump- PIST4,0.2673,1.205399064,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,0,POGR,0.40,5.7,5.7,5.8,2,5.7,2.866666667,1033,POGR2,0.3780,0.390351684,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,0,POGR,2.20,10.0,9.2,8.2,2,9.1,4.566666667,14414,POGR2,0.3780,5.448324652,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,0,POGR,1.80,6.7,7.2,7.2,3,7.0,3.516666667,6993,POGR3,0.2843,1.988207223,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,0,QURU,1.34,5.0,5.5,5.9,2,5.5,2.733333333,3145,QURU2,0.5925,1.863494954,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,0,Stump- POGR,0.76,7.1,6.9,6.3,3,6.8,3.383333333,2733,Stump- POGR3,0.2843,0.777015889,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,PIST,0.82,17.2,13.7,12.9,4,14.6,7.3,13728,PIST4,0.2673,3.669512776,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,PIST,2.03,10.9,13.2,13.4,4,12.5,6.25,24912,PIST4,0.2673,6.658936969,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,1.16,5.0,5.2,5.6,2,5.3,2.633333333,2527,POGR2,0.3780,0.955237437,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,0.77,7.1,5.9,5.3,3,6.1,3.05,2250,POGR3,0.2843,0.639760078,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,0.68,5.6,7.1,5.0,3,5.9,2.95,1859,POGR3,0.2843,0.528542211,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,0.52,8.0,8.2,8.1,3,8.1,4.05,2680,POGR3,0.2843,0.761798516,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,0.47,9.0,8.2,8.1,4,8.4,4.216666667,2625,POGR4,0.2673,0.70175454,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,0.27,5.4,5.8,7.2,4,6.1,3.066666667,798,POGR4,0.2673,0.21322874,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,POGR,0.27,7.2,7.2,7.9,5,7.4,3.716666667,1172,POGR5,0.0680,0.079676413,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,120,Stump- POGR,0.32,6.4,5.3,5.4,3,5.7,2.85,817,Stump- POGR3,0.2843,0.232148793,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,240,POGR,0.37,5.2,5.6,5.3,3,5.4,2.683333333,837,POGR3,0.2843,0.237945616,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,240,POGR,2.21,6.5,7.3,7.0,3,6.9,3.466666667,8344,POGR3,0.2843,2.372155613,,,,,,,,,,,,,,,,
BP80#3,7/8/2020,240,POGR,2.21,7.2,7.0,5.7,4,6.6,3.316666667,7637,POGR4,0.2673,2.04147825,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,1,PIST,0.47,5.0,6.4,5.1,3,5.5,2.75,1117,PIST3,0.2843,0.317460706,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,1,PIST,0.49,5.0,5.4,5.1,4,5.2,2.583333333,1027,PIST4,0.2673,0.274603335,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,1,Stump- PIST,0.21,7.3,5.7,6.7,3,6.6,3.283333333,711,Stump- PIST3,0.3780,0.268838163,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,2,BEPA,1.63,13.8,13.5,11.8,3,13.0,6.516666667,21746,BEPA3,0.3178,6.911023727,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,2,PIST,0.22,8.4,8.2,5.0,4,7.2,3.6,896,PIST4,0.2673,0.239428869,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,2,Stump- PIST,0.27,6.4,8.4,10.1,3,8.3,4.15,1461,Stump- PIST3,0.3780,0.552206647,,,,,,,,,,,,,,,,
BP98#1,7/14/2020,2,Unknown,0.87,10.1,9.8,10.7,5,10.2,5.1,7109,Unknown5,0.1607,1.142418834,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,1,POGR,2.01,5.1,5.3,5.9,1,5.4,2.716666667,4660,POGR1,0.5987,2.790152213,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,1,QURU,0.28,5.6,6.2,8.3,2,6.7,3.35,987,QURU2,0.5925,0.584905726,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,1,QURU,1.02,9.5,5.8,6.2,4,7.2,3.583333333,4115,QURU4,0.3074,1.264818842,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,1,QURU,1.21,9.7,8.4,10.8,5,9.6,4.816666667,8819,QURU5,0.2341,2.064571089,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,2,PIST,2.97,8.2,7.4,6.6,5,7.4,3.7,12773,PIST5,0.0680,0.868597716,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,2,PIST,2.00,5.2,5.4,5.3,5,5.3,2.65,4412,PIST5,0.0680,0.300040948,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,2,QURU,1.14,9.2,8.9,6.2,4,8.1,4.05,5874,QURU4,0.3074,1.805795779,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,2,Stump- PIRE,0.31,10.4,9.1,11.7,4,10.4,5.2,2633,Stump- PIRE4,0.2673,0.703910126,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,2,Unknown,0.37,7.8,18.8,13.9,4,13.5,6.75,5296,Unknown4,0.2517,1.333037473,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,2.37,12.0,10.9,9.3,3,10.7,5.366666667,21444,ACRU3,0.3100,6.647665452,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,0.78,6.4,7.3,6.2,3,6.6,3.316666667,2696,ACRU3,0.3100,0.835621915,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,1.20,13.5,10.5,10.4,3,11.5,5.733333333,12392,ACRU3,0.3100,3.841556252,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,1.85,5.9,6.4,7.1,3,6.5,3.233333333,6076,ACRU3,0.3100,1.883580796,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,1.71,5.0,6.7,7.3,3,6.3,3.166666667,5387,ACRU3,0.3100,1.669984261,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,0.83,6.5,6.4,6.8,3,6.6,3.283333333,2811,ACRU3,0.3100,0.871404123,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,0.33,10.5,9.8,9.1,4,9.8,4.9,2489,ACRU4,0.2306,0.574004472,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,ACRU,1.29,9.3,12.5,11.3,4,11.0,5.516666667,12334,ACRU4,0.2306,2.844149184,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,Stump- PIRE,0.24,21.3,18.2,20.7,3,20.1,10.03333333,7590,Stump- PIRE3,0.2843,2.157885794,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,Stump- PIRE,0.28,6.5,5.7,6.4,3,6.2,3.1,845,Stump- PIRE3,0.2843,0.240330091,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,3,Stump- QURU,0.32,29.0,25.5,25.2,4,26.6,13.28333333,17738,Stump- QURU4,0.3074,5.452778498,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,4,PIRE,0.38,25.9,34.0,31.7,3,30.5,15.26666667,27824,PIRE3,0.2843,7.910406026,,,,,,,,,,,,,,,,
BP98#2,7/14/2020,4,PIRE,0.21,7.0,8.6,10.5,3,8.7,4.35,1248,PIRE3,0.2843,0.354915152,,,,,,,,,,,,,,,,
BS40E,5/26/2020,0,BEPA,1.25,14.4,13.8,13.7,2,14.0,6.983333333,19151,BEPA2,0.3462,6.629984215,,,,,,,,,,,,,,,,
BS40E,5/26/2020,0,PIRE,0.37,7.2,8.2,10.1,3,8.5,4.25,2100,PIRE3,0.2843,0.596906512,,,,,,,,,,,,,,,,
BS40E,5/26/2020,0,POGR,0.24,6.7,7.0,7.4,4,7.0,3.516666667,932,POGR4,0.2673,0.249242721,,,,,,,,,,,,,,,,
BS40E,5/26/2020,0,Unknown,1.05,12.3,12.4,14.4,5,13.0,6.516666667,14008,Unknown5,0.1607,2.251158441,,,,,,,,,,,,,,,,
BS40E,5/26/2020,120,POGR,0.89,5.1,5.2,5.3,2,5.2,2.6,1890,POGR2,0.3780,0.71446075,,,,,,,,,,,,,,,,
BS40E,5/26/2020,120,POGR,0.28,11.8,10.3,8.3,4,10.1,5.066666667,2258,POGR4,0.2673,0.603603194,,,,,,,,,,,,,,,,
BS40E,5/26/2020,120,POGR,1.09,11.4,12.5,13.2,5,12.4,6.183333333,13092,POGR5,0.0680,0.890288168,,,,,,,,,,,,,,,,
BS40E,5/26/2020,120,POGR,0.45,15,17.6,22.6,5,18.4,9.2,11966,POGR5,0.0680,0.813667471,,,,,,,,,,,,,,,,
BS40E,5/26/2020,240,PIST,0.49,5.0,5.3,5.6,3,5.3,2.65,1081,PIST3,0.2843,0.307336797,,,,,,,,,,,,,,,,
BS40E,5/26/2020,240,PIST,2.04,6.2,6.1,6.7,3,6.3,3.166666667,6427,PIST3,0.2843,1.827096985,,,,,,,,,,,,,,,,
BS40F,5/15/2020,0,PIST,6.00,10.7,8.1,5.0,3,7.9,3.966666667,29659,PIST3,0.2843,8.431976667,,,,,,,,,,,,,,,,
BS40F,5/15/2020,0,PIST,0.68,5.6,5.3,5.2,5,5.4,2.683333333,1538,PIST5,0.0680,0.104596451,,,,,,,,,,,,,,,,
BS40F,5/15/2020,120,BEPA,4.00,31.1,30.6,25.8,2,29.2,14.58333333,267254,BEPA2,0.3462,92.52317614,,,,,,,,,,,,,,,,
BS40F,5/15/2020,120,BEPA,1.70,18.6,16.4,16.8,5,17.3,8.633333333,39807,BEPA5,0.1684,6.703442677,,,,,,,,,,,,,,,,
BS40F,5/15/2020,120,BEPA,0.69,17.7,18.9,18.9,5,18.5,9.25,18547,BEPA5,0.1684,3.123377778,,,,,,,,,,,,,,,,
BS40F,5/15/2020,120,PIST,1.61,5.9,5.6,5.2,3,5.6,2.783333333,3918,PIST3,0.2843,1.113994508,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,PIST,1.17,5.7,5.6,5.1,2,5.5,2.733333333,2746,PIST2,0.3780,1.038036751,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,PIST,0.72,7.6,8.1,7.8,2,7.8,3.916666667,3470,PIST2,0.3780,1.311618074,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,POGR,5.90,17.3,15.9,15.1,1,16.1,8.05,120114,POGR1,0.5987,71.9122543,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,POGR,1.07,6.4,6.2,8.1,2,6.9,3.45,4001,POGR2,0.3780,1.512389454,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,POGR,0.51,5.4,5.2,5.1,2,5.2,2.616666667,1097,POGR2,0.3780,0.414675763,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,POGR,1.80,10.4,10.6,7.6,5,9.5,4.766666667,12848,POGR5,0.0680,0.873697023,,,,,,,,,,,,,,,,
BS40F,5/15/2020,240,POGR,0.45,7.7,7.6,7.9,5,7.7,3.866666667,2114,POGR5,0.0680,0.143729121,,,,,,,,,,,,,,,,
BS40X,5/26/2020,0,PIST,0.79,7.4,5.9,5.6,3,6.3,3.15,2463,PIST3,0.2843,0.700123945,,,,,,,,,,,,,,,,
BS40X,5/26/2020,120,POGR,1.61,5.2,5.7,6.1,1,5.7,2.833333333,4060,POGR1,0.5987,2.430974195,,,,,,,,,,,,,,,,
BS40X,5/26/2020,120,POGR,0.26,15.9,17.9,16.8,1,16.9,8.433333333,5809,POGR1,0.5987,3.478011484,,,,,,,,,,,,,,,,
BS40X,5/26/2020,240,PIRE,0.89,5.1,6.5,5.9,4,5.8,2.916666667,2379,PIRE4,0.2673,0.635788158,,,,,,,,,,,,,,,,
BS40X,5/26/2020,240,PIRE,0.40,35.7,31.0,26.4,5,31.0,15.51666667,30256,PIRE5,0.0697,2.108819959,,,,,,,,,,,,,,,,
BS40X,5/26/2020,240,PIST,0.29,5.0,5.2,5.1,4,5.1,2.55,592,PIST4,0.2673,0.158353326,,,,,,,,,,,,,,,,
BS40X,5/26/2020,240,POGR,0.26,5.9,5.6,5.5,5,5.7,2.833333333,656,POGR5,0.0680,0.044588974,,,,,,,,,,,,,,,,
BS40X,5/26/2020,240,Unknown,0.31,11.2,12.1,13.1,5,12.1,6.066666667,3584,Unknown5,0.1607,0.576006932,,,,,,,,,,,,,,,,
BS42A,6/29/2020,0,PIRE,2.21,9.3,9.2,5.0,2,7.8,3.916666667,10651,PIRE2,0.3780,4.025938812,,,,,,,,,,,,,,,,
BS42A,6/29/2020,0,PIRE,0.57,7.6,5.8,5.0,2,6.1,3.066666667,1684,PIRE2,0.3780,0.636575139,,,,,,,,,,,,,,,,
BS42A,6/29/2020,0,POGR,4.30,27.5,21.8,31.0,3,26.8,13.38333333,241962,POGR3,0.2843,68.78975739,,,,,,,,,,,,,,,,
BS42A,6/29/2020,120,BEPA,1.31,7.0,10.9,11.1,5,9.7,4.833333333,9614,BEPA5,0.1684,1.619036913,,,,,,,,,,,,,,,,
BS42A,6/29/2020,120,Unknown,1.27,6.5,9.6,9.8,4,8.6,4.316666667,7434,Unknown4,0.2517,1.871258718,,,,,,,,,,,,,,,,
BS42B,6/29/2020,0,Unknown,0.64,5.0,6.1,5.3,5,5.5,2.733333333,1502,Unknown5,0.1607,0.241396472,,,,,,,,,,,,,,,,
BS42B,6/29/2020,240,PIRE,1.67,12.5,11.6,11.0,2,11.7,5.85,17955,PIRE2,0.3780,6.786875396,,,,,,,,,,,,,,,,
BS42B,6/29/2020,240,PIRE,4.46,6.5,8.8,10.5,2,8.6,4.3,25907,PIRE2,0.3780,9.792947864,,,,,,,,,,,,,,,,
BS42B,6/29/2020,240,PIRE,0.55,6.1,5.5,5.4,4,5.7,2.833333333,1387,PIRE4,0.2673,0.370771943,,,,,,,,,,,,,,,,
BS42B,6/29/2020,240,PIRE,2.10,14.6,13.4,13.1,4,13.7,6.85,30956,PIRE4,0.2673,8.274643066,,,,,,,,,,,,,,,,
BS42B,6/29/2020,240,PIRE,0.95,9.1,9.0,8.3,5,8.8,4.4,5778,PIRE5,0.0697,0.402727799,,,,,,,,,,,,,,,,
BS42B,6/29/2020,240,Stump- PIRE,0.68,12.7,14.2,15.0,2,14.0,6.983333333,10418,Stump- PIRE2,0.3780,3.938003796,,,,,,,,,,,,,,,,
