Plot,Profile ID,Targeted sampling increment,Actual sampling increment,Sampling increment thickness (cm),Sample volume (cm^3),Archived sample ID,Fine earth 60 degrees dry mass (g),Root  60 degrees  dry mass (g),Wood greater than 2mm 60 degrees dry mass (g),Stone Air Dry mass (g),Stone volume (cm3),Sieving comments,Fine earth mass density (Mg ha-1),Fine earth bulk density (g cm-3),Bulk density code,Texture,pH,Loss on ignition (%),Total C concentration (%),C concentration code,Ca (mg kg-1),K (mg kg-1),Mg (mg kg-1),P (mg kg-1),Al (mg kg-1),Cu (mg kg-1),Fe (mg kg-1),Mn (mg kg-1),Na (mg kg-1),S (mg kg-1),Zn (mg kg-1),acidity (meq 100 g-1),ECEC (meq 100g-1),Root C stock (Mg C ha-1),Soil C stock (Mg C ha-1)
CP1,CP1.1,Oe,Oe,,,L14-0002,28.5,,,,,,12.67,,,,,,36.3,UMBS,,,,,,,,,,,,,,,5
CP1,CP1.1,A,A,,,L14-0003,305.47,4.12,,0,0,,135.76,,,sand,4.05,11,21.1,UMBS,518,208,106,28.2,20.6,0.8,5.4,88.0,10.1,43.2,6.7,4.9,9.0,0.86,29
CP1,CP1.1,0--15,0--15,15,318.4,L14-0004,420.4449447,0.348,0.312,6.28,2.512,,,1.33,M,,,,0.4,JML,,,,,,,,,,,,,,0.46,9
CP1,CP1.1,15--30,15--30,15,318.4,L14-0005,482.4827387,0.207,0.922,2.72,1.088,,,1.52,M,sand,4.61,1.3,0.5,JML,13,12,3,2.8,150.1,0.1,15.4,4.4,2.2,5.6,1.2,1.1,1.2,0.28,12
CP1,CP1.1,30--60,30--60,30,636.8,L14-0006,1058.452058,0.126,0.957,14.96,5.984,no charcoal,,1.68,M,,,,0.1,AVG,,,,,,,,,,,,,,0.02,7
CP1,CP1.1,60--100,60--100,40,849.1,L14-0007,1551.565196,0.007,0.16,27.011,10.8044,,,1.85,M,gravelly sand,5.54,0.2,0.1,AVG,59,9,12,0.7,53.1,0.1,12.6,0.4,1.6,1.7,2.5,0.0,0.4,0.00,7
CP1,CP1.2,Oe,Oe,,,L14-0009,30,,,,,,13.33,,,,,,26.7,UMBS,,,,,,,,,,,,,,,4
CP1,CP1.2,A,A,,,L14-0010,355.26,13.63,,0,0,,157.89,,,sand,4.32,7.7,11.5,UMBS,313,125,64,14.0,27.5,1.5,11.3,88.1,3.7,25.0,5.4,3.3,5.7,2.85,18
CP1,CP1.2,0--15,0--15,15,318.4,L14-0011,415.5763465,0.372,0.953,28.73,11.492,,,1.35,M,,,,0.5,JML,,,,,,,,,,,,,,1.38,10
CP1,CP1.2,15--30,15--30,15,318.4,L14-0012,429.739598,0.623,0.511,73.85,29.54,,,1.49,M,gravelly sand,4.65,0.9,0.6,JML,26,15,4,1.7,118.5,0.1,10.9,12.8,1.9,4.0,2.2,1.2,1.4,0.40,13
CP1,CP1.2,30--60,30--60,30,636.8,L14-0013,865.7874736,0.18,0.201,41.86,16.744,no charcoal,,1.40,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.22,8
CP1,CP1.2,60--100,60--100,40,849.1,L14-0014,1472.711525,0.1,0.012,27.309,10.9236,,,1.76,M,gravelly sand,5.44,0.2,0.1,UMBS,69,8,8,0.4,32.5,0.1,5.8,1.5,1.6,1.7,1.4,0.0,0.4,0.00,8
CP1,CP1.3,Oe,Oe,,,L14-0016,34.09,,,,,,15.15,,,,,,39.4,UMBS,,,,,,,,,,,,,,,6
CP1,CP1.3,A,A,,,L14-0017,219.86,6.78,,0,0,,97.72,,,sand,3.97,30.3,33.7,UMBS,646,190,116,26.2,17.1,1.2,4.1,84.2,12.0,45.4,7.8,5.4,10.2,1.42,33
CP1,CP1.3,0--15,0--15,15,318.4,L14-0018,328.8783076,0.406,1.294,30.73,12.292,,,1.07,M,,,,1.2,JML,,,,,,,,,,,,,,0.28,20
CP1,CP1.3,15--30,15--30,15,318.4,L14-0019,413.9877584,0.125,5.867,44.69,17.876,metal piping,,1.38,M,gravelly sand,4.42,0.9,0.6,JML,36,11,9,2.1,95.9,0.1,23.7,6.9,6.0,4.3,2.5,1.7,2.0,0.00,13
CP1,CP1.3,30--60,30--60,30,636.8,L14-0020,913.8664352,0,0.156,78.98,31.592,,,1.51,M,,,,0.3,UMBS,,,,,,,,,,,,,,0.02,13
CP1,CP1.3,60--100,60--100,40,849.1,L14-0021,1488.023789,0.008,0.411,79.85,31.94,,,1.82,M,gravelly sand,5.16,0.2,0.1,UMBS,39,11,14,1.1,74.6,0.1,10.2,2.1,2.0,2.7,1.5,0.0,0.3,0.00,10
CP2,CP2.1,Oe,Oe,,,L14-0023,33.34,,,,,,14.82,,,,,,40.1,UMBS,,,,,,,,,,,,,,,6
CP2,CP2.1,A,A,,,L14-0024,348.74,5.97,,0,0,,155.00,,,sand,4.71,15.4,22.3,UMBS,1520,224,177,39.0,15.5,1.6,5.0,356.8,7.4,34.3,8.0,3.3,12.9,1.25,35
CP2,CP2.1,0--15,0--15,15,318.4,L14-0025,277.4990389,0.623,3.118,19.77,7.908,,,0.89,M,,,,2.1,JML,,,,,,,,,,,,,,4.41,28
CP2,CP2.1,15--30,15--30,15,318.4,L14-0026,444.8567943,1.993,1.092,66.468,26.5872,,,1.52,M,gravelly sand,4.77,1.1,0.3,UMBS,124,17,9,3.9,97.2,0.2,15.0,16.9,2.1,4.8,2.3,1.4,2.2,0.42,6
CP2,CP2.1,30--60,30--60,30,636.8,L14-0027,851.8197228,0.188,0.305,29.28,11.712,,,1.36,M,,,,0.3,UMBS,,,,,,,,,,,,,,1.26,13
CP2,CP2.1,60--100,60--100,40,849.1,L14-0028,1383.834233,0.57,1.833,65.495,26.198,,,1.68,M,loamy sand,5.62,0.2,0.2,JML,235,27,26,0.9,31.8,0.2,3.9,5.7,1.3,2.1,5.3,0.0,1.5,0.00,16
CP2,CP2.2,Oe,Oe,,,L14-0030,31.32,,,,,,13.92,,,,,,32.6,UMBS,,,,,,,,,,,,,,,5
CP2,CP2.2,A,A,,,L14-0031,435.71,4.77,,1.21,0.484,stones,193.65,,,sand,4.55,9.5,14.9,UMBS,729,166,106,34.3,11.8,0.7,4.8,140.3,2.5,29.7,5.8,3.1,8.1,1.00,29
CP2,CP2.2,0--15,0--15,15,318.4,L14-0032,334.2911153,0.611,1.316,20.863,8.3452,,,1.08,M,,,,0.9,JML,,,,,,,,,,,,,,2.51,14
CP2,CP2.2,15--30,15--30,15,318.4,L14-0033,417.4324674,1.134,0.814,24.519,9.8076,no charcoal,,1.35,M,sand,4.59,0.8,0.6,JML,16,10,3,3.0,161.7,0.1,14.4,4.7,2.2,5.5,1.6,1.3,1.4,0.97,12
CP2,CP2.2,30--60,30--60,30,636.8,L14-0034,991.2833488,0.437,0.18,33.63,13.452,no charcoal,,1.59,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.14,12
CP2,CP2.2,60--100,60--100,40,849.1,L14-0035,1603.98622,0.064,0.07,30.252,12.1008,lots of aggregates,,1.92,M,loamy sand,5.27,0.3,0.2,UMBS,157,22,22,1.3,70.5,0.2,7.9,2.0,2.7,2.2,2.4,0.0,1.0,0.00,12
CP2,CP2.3,Oe,Oe,,,L14-0037,20.75,,,,,,9.22,,,,,,30.0,UMBS,,,,,,,,,,,,,,,3
CP2,CP2.3,A,A,,,L14-0038,172.01,4.31,,0,0,,76.45,,,sand,4.27,8.7,17.1,UMBS,320,189,94,18.1,17.3,0.7,5.4,154.7,6.2,21.9,5.2,3.5,6.3,0.90,13
CP2,CP2.3,0--15,0--15,15,318.4,L14-0039,297.0036767,0.429,0.329,28.25,11.3,,,0.97,M,,,,1.0,JML,,,,,,,,,,,,,,2.57,15
CP2,CP2.3,15--30,15--30,15,318.4,L14-0040,393.0406584,1.163,1.102,70.317,28.1268,,,1.35,M,gravelly sand,4.8,0.6,0.4,JML,17,10,4,3.1,133.6,0.2,13.0,8.2,2.3,5.2,2.2,0.8,0.9,0.74,7
CP2,CP2.3,30--60,30--60,30,636.8,L14-0041,991.4747857,0.333,0.107,30.62,12.248,,,1.59,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.25,11
CP2,CP2.3,60--100,60--100,40,849.1,L14-0042,1664.422582,0.113,0.119,26.574,10.6296,,,1.99,M,loamy sand,5.34,0.3,0.1,UMBS,146,21,22,1.8,69.0,0.4,7.9,2.3,2.7,2.1,4.7,0.0,1.0,0.00,10
CP3,CP3.1,Oe,Oe,,,L14-0044,84.97,,,,,,37.76,,,,,,36.7,UMBS,,,,,,,,,,,,,,,14
CP3,CP3.1,A,A,,,L14-0045,606.46,22.97,,0,0,,269.54,,,sand,4.28,16.5,13.2,UMBS,647,249,132,30.3,22.9,3.8,7.7,130.7,8.6,46.6,14.6,4.4,9.4,4.80,36
CP3,CP3.1,0--15,0--15,15,318.4,L14-0046,402.1839081,0.529,1.632,27.27,10.908,,,1.31,M,,,,1.0,JML,,,,,,,,,,,,,,0.40,19
CP3,CP3.1,15--30,15--30,15,318.4,L14-0047,413.6834623,0.18,0.182,93.29,37.316,,,1.47,M,sand,4.52,0.8,0.4,JML,28,16,6,3.5,105.0,0.2,47.1,32.1,1.8,4.0,2.7,1.4,1.7,0.98,9
CP3,CP3.1,30--60,30--60,30,636.8,L14-0048,939.7028826,0.443,0.86,106.657,42.6628,,,1.58,M,,,,0.4,AVG,,,,,,,,,,,,,,0.64,19
CP3,CP3.1,60--100,60--100,40,849.1,L14-0049,1497.676715,0.291,0.3,37.838,15.1352,"metal, charcoal",,1.80,M,loamy sand,5.29,0.6,0.3,AVG,143,21,32,2.1,72.7,0.1,7.9,3.4,1.8,2.0,1.5,0.0,1.0,0.00,21
CP3,CP3.2,Oe,Oe,,,L14-0051,20.2,,,,,,8.98,,,,,,27.7,UMBS,,,,,,,,,,,,,,,2
CP3,CP3.2,A,A,,,L14-0052,638.57,6.5,,5.4,2.16,Stones,283.81,,,sand,4.98,7.4,10.9,UMBS,232,158,117,11.7,40.5,1.3,7.8,694.0,4.7,35.2,9.6,2.3,4.8,1.36,31
CP3,CP3.2,0--15,0--15,15,318.4,L14-0053,400.0004176,0.412,0.149,52.972,21.1888,,,1.35,M,,,,0.4,JML,,,,,,,,,,,,,,0.45,7
CP3,CP3.2,15--30,15--30,15,318.4,L14-0054,434.641096,0.204,0.315,31.58,12.632,,,1.42,M,gravelly sand,5.04,0.5,0.3,JML,34,9,11,0.6,61.5,0.2,11.1,7.5,1.9,2.0,1.1,0.5,0.7,0.23,6
CP3,CP3.2,30--60,30--60,30,636.8,L14-0055,569.8628952,0.105,0,197.59,79.036,a lot of metal,,1.57,G,,,,0.3,UMBS,,,,,,,,,,,,,,0.30,13
CP3,CP3.2,60--100,60--100,40,849.1,L14-0056,1508.861571,0.135,0.36,50.146,20.0584,lots of aggregates,,1.82,M,loamy sand,5.75,0.3,0.1,UMBS,182,16,33,1.6,50.6,0.2,5.8,2.1,3.3,1.8,2.0,0.0,1.2,0.00,8
CP3,CP3.3,Oe,Oe,,,L14-0058,51.49,,,,,,22.88,,,,,,46.3,UMBS,,,,,,,,,,,,,,,11
CP3,CP3.3,A,A,,,L14-0059,160.67,10.58,,0,0,,71.41,,,sand,3.64,48.8,41.8,UMBS,470,237,141,69.9,9.1,2.1,3.2,60.6,9.0,60.7,11.6,6.1,10.2,2.21,30
CP3,CP3.3,0--15,0--15,15,318.4,L14-0060,338.6943673,0.175,1.354,16.428,6.5712,,,1.09,M,,,,1.0,JML,,,,,,,,,,,,,,0.34,17
CP3,CP3.3,15--30,15--30,15,318.4,L14-0061,377.0694318,0.155,1.1,22.3,8.92,metal,,1.22,M,sand,4.94,0.8,0.4,JML,60,9,4,2.8,150.4,0.2,9.5,2.1,2.3,5.4,13.1,0.9,1.2,0.85,8
CP3,CP3.3,30--60,30--60,30,636.8,L14-0062,885.9798607,0.385,0.65,37.385,14.954,,,1.42,M,,,,0.3,UMBS,,,,,,,,,,,,,,0.24,12
CP3,CP3.3,60--100,60--100,40,849.1,L14-0063,1484.919171,0.107,0.27,20.195,8.078,,,1.77,M,sand,5.31,0.2,0.1,UMBS,90,9,15,0.4,23.0,0.2,4.0,1.8,1.4,1.4,0.9,0.0,0.6,0.00,7
BS42A,BS42A.1,Oe,Oe,,,L14-0065,49.81,,,,,,22.14,,,,,,41.8,UMBS,,,,,,,,,,,,,,,9
BS42A,BS42A.1,A,A,,,L14-0066,159.52,4.35,,0,0,,70.90,,,sand,4.04,22.1,32.4,UMBS,861,101,110,18.2,13.1,0.5,3.7,36.6,3.6,22.1,6.5,4.9,10.4,0.91,23
BS42A,BS42A.1,0--15,0--15,15,318.4,L14-0067,240.2063006,1.354,,,0,,,1.18,G,,,,0.7,JML,,,,,,,,,,,,,,1.23,12
BS42A,BS42A.1,15--30,15--30,15,318.4,L14-0068,530.2600014,0.554,1.836,45.305,18.122,"no charcoal, some",,1.77,M,gravelly sand,4.49,0.2,0.2,JML,12,9,4,0.7,84.7,0.1,11.8,0.3,1.7,3.2,1.7,0.9,1.0,0.32,5
BS42A,BS42A.1,30--60,30--60,30,636.8,L14-0069,876.5732134,0.145,0.01,67.657,27.0628,leaker; metal,,1.44,M,,,,0.3,AVG,,,,,,,,,,,,,,0.24,14
BS42A,BS42A.1,60--100,60--82,22,467.0,L14-0070,1229.495853,0.11,0.41,37.836,15.1344,,,1.73,G,gravelly sand,5.79,0.2,0.1,JML,39,5,6,0.3,21.2,0.1,6.5,0.6,1.2,1.4,33.2,0.0,0.3,0.00,3
BS42A,BS42A.2,Oe,Oe,,,L14-0072,64.16,,,,,,28.52,,,,,,46.5,UMBS,,,,,,,,,,,,,,,13
BS42A,BS42A.2,A,A,,,L14-0073,137.52,11.94,,0,0,,61.12,,,sand,3.93,35.7,31.4,UMBS,983,168,126,27.7,9.3,0.3,2.5,17.8,4.1,25.7,5.5,4.9,11.3,2.49,19
BS42A,BS42A.2,0--15,0--15,15,318.4,L14-0074,413.6647971,1.613,,,0,,,1.30,M,,,,0.6,JML,,,,,,,,,,,,,,2.97,11
BS42A,BS42A.2,15--30,15--30,15,318.4,L14-0075,561.04,1.34,0.427,13.14,5.256,no charcoal,,1.79,M,gravelly sand,4.48,0.5,0.4,JML,39,10,6,0.6,40.8,0.1,11.0,0.3,1.4,2.4,2.4,1.2,1.5,2.78,10
BS42A,BS42A.2,30--60,30--60,30,636.8,L14-0076,1126.273223,1.255,0.033,143.225,57.29,no wood,,1.94,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.04,13
BS42A,BS42A.2,60--100,60--86,26,551.9,L14-0077,865.7203059,0.017,0.08,94.68,37.872,,,1.68,M,gravelly sand,5.97,0.2,0.1,plotXdepth est.,80,6,7,0.3,31.2,0.1,7.2,0.2,0.8,1.8,9.4,0.0,0.5,0.00,4
BS42A,BS42A.3,Oe,Oe,,,L14-0079,77.7,,,,,,34.53,,,,,,46.8,UMBS,,,,,,,,,,,,,,,16
BS42A,BS42A.3,A,A,,,L14-0080,186.34,3.31,,0,0,,82.82,,,sand,4.03,24.1,36.2,UMBS,1026,133,119,17.5,15.2,0.8,3.5,22.2,7.0,24.0,8.6,5.1,11.6,0.69,30
BS42A,BS42A.3,0--15,0--15,15,318.4,L14-0081,434.445965,0.909,,,0,,,1.36,M,,,,0.6,JML,,,,,,,,,,,,,,1.33,12
BS42A,BS42A.3,15--30,15--30,15,318.4,L14-0082,507.5327,0.599,,,0,,,1.59,M,gravelly sand,4.47,0.4,0.2,JML,22,7,3,0.7,53.2,0.7,15.3,0.2,1.5,2.4,4.0,1.2,1.4,0.19,4
BS42A,BS42A.3,30--60,30--60,30,636.8,L14-0083,1119.423022,0.086,0,100.494,40.1976,"no wood, few roots. metal",,1.88,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.20,10
BS42A,BS42A.3,60--100,60--100,40,849.1,L14-0084,1490.507989,0.091,0,139.988,55.9952,,,1.88,M,gravelly sand,6.11,0.3,0.1,plotXdepth est.,103,8,10,0.3,20.9,0.1,3.6,0.2,1.1,1.3,13.3,0.0,0.6,0.00,7
BS42B,BS42B.1,Oe,Oe,,,L14-0086,57.34,,,,,,25.48,,,,,,31.0,UMBS,,,,,,,,,,,,,,,8
BS42B,BS42B.1,A,A,,,L14-0087,221.3,24.54,,0,0,,98.36,,,sand,4.71,8.8,16.0,UMBS,1412,176,85,12.9,16.3,0.5,6.1,113.5,3.4,17.7,12.0,3.0,11.2,5.13,16
BS42B,BS42B.1,0--15,0--15,15,318.4,L14-0088,382.5798009,0.809,3.819,15.586,6.2344,,,1.23,M,,,,0.9,JML,,,,,,,,,,,,,,2.45,16
BS42B,BS42B.1,15--30,15--30,15,318.4,L14-0089,461.2943485,1.105,0.289,44.961,17.9844,,,1.54,M,gravelly sand,4.79,0.3,0.2,JML,21,8,4,0.4,84.5,0.6,4.8,0.0,5.3,2.8,1.8,0.6,0.8,0.21,3
BS42B,BS42B.1,30--60,30--60,30,636.8,L14-0090,957.7742144,0.093,0.15,138.743,55.4972,"charcoal, metal",,1.65,M,,,,0.1,AVG,,,,,,,,,,,,,,0.32,6
BS42B,BS42B.1,60--100,60--84,24,509.4,L14-0091,1172.4147,0.144,0.25,39.277,15.7108,,,1.73,G,gravelly sand,6.71,0.3,0.1,plotXdepth mean,82,3,15,1.1,8.9,0.1,1.8,0.3,0.8,1.2,9.2,0.0,0.5,0.00,5
BS42B,BS42B.2,Oe,Oe,,,L14-0093,41.87,,,,,,18.61,,,,,,41.0,UMBS,,,,,,,,,,,,,,,8
BS42B,BS42B.2,A,A,,,L14-0094,148.06,1.49,,0,0,,65.80,,,sand,4.14,27.8,32.8,UMBS,1160,119,119,16.0,14.7,0.6,3.8,31.3,3.3,25.6,7.3,4.7,11.8,0.31,22
BS42B,BS42B.2,0--15,0--15,15,318.4,L14-0095,381.7508996,0.576,0.686,17.6,7.04,,,1.23,M,,,,0.3,JML,,,,,,,,,,,,,,2.12,5
BS42B,BS42B.2,15--30,15--30,15,318.4,L14-0096,528.892471,0.956,2.271,12.566,5.0264,no charcoal,,1.69,M,sand,4.6,0.5,0.1,JML,56,10,10,0.4,47.3,0.2,7.3,0.1,5.5,2.1,1.9,1.0,1.4,0.74,1
BS42B,BS42B.2,30--60,30--60,30,636.8,L14-0097,1049.76031,0.335,0,125.972,50.3888,"no wood,metal",,1.79,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.00,9
BS42B,BS42B.2,60--100,60--84,24,509.4,L14-0098,957.2970047,0,0,58.258,23.3032,60-84 cm,,1.97,M,gravelly sand,6.12,0.2,0.0,JML,50,7,5,0.2,12.6,0.2,3.7,0.6,1.2,1.1,21.9,0.0,0.3,0.00,2
BS42B,BS42B.3,Oe,Oe,,,L14-0100,85.42,,,,,,37.96,,,,,,46.0,UMBS,,,,,,,,,,,,,,,17
BS42B,BS42B.3,A,A,,,L14-0101,67.64,86.97,,0,0,,30.06,,,sand,3.97,8.9,7.7,UMBS,406,180,96,6.5,,,,20.6,1.2,30.9,14.3,4.1,7.4,18.17,2
BS42B,BS42B.3,0--15,0--15,15,318.4,L14-0102,417.1655894,7.707,0.267,16.61,6.644,,,1.34,M,,,,0.3,UMBS,,,,,,,,,,,,,,0.78,5
BS42B,BS42B.3,15--30,15--30,15,318.4,L14-0103,463.9590435,0.354,0,32.405,12.962,no wood,,1.52,M,gravelly sand,5.16,0.2,0.0,JML,70,9,7,0.4,74.5,0.1,6.0,0.0,2.0,3.1,0.8,0.0,0.4,0.54,1
BS42B,BS42B.3,30--60,30--60,30,636.8,L14-0104,1116.906119,0.242,0.42,112.349,44.9396,metal,,1.89,M,,,,0.2,UMBS,,,,,,,,,,,,,,0.00,11
BS42B,BS42B.3,60--100,60--100,60,1273.6,L14-0105,1801.821662,0,0.24,147.968,59.1872,,,1.48,M,gravelly sand,6.26,0.2,0.2,JML,52,4,7,0.2,9.7,0.1,2.4,0.2,1.2,1.1,18.8,0.0,0.3,0.00,17
BS42C,BS42C.1,Oe,Oe,,,L14-0107,64.37,,,,,,28.61,,,,,,48.1,UMBS,,,,,,,,,,,,,,,14
BS42C,BS42C.1,A,A,,,L14-0108,172.94,19.84,,0,0,,76.86,,,sand,3.6,67.6,43.9,UMBS,828,218,124,22.5,14.1,4.0,3.0,15.1,10.6,43.6,22.7,6.3,12.0,4.14,34
BS42C,BS42C.1,0--15,0--15,15,318.4,L14-0109,346.2460106,0.424,1.58,15.14,6.056,,,1.11,M,,,,0.9,JML,,,,,,,,,,,,,,0.99,15
BS42C,BS42C.1,15--30,15--30,15,318.4,L14-0110,344.3917744,0.448,28.69,134.489,53.7956,,,1.30,M,gravelly sand,4.51,1.9,1.3,UMBS,40,17,5,0.4,131.0,0.4,23.7,0.3,2.4,10.4,2.8,1.6,1.9,0.73,26
BS42C,BS42C.1,30--60,30--60,30,636.8,L14-0111,1001.778714,0.332,1.21,35.239,14.0956,"metal, charcoal",,1.61,M,,,,0.2,AVG,,,,,,,,,,,,,,0.26,11
BS42C,BS42C.1,60--100,60--100,60,1273.6,L14-0112,1432.297551,0.116,0.2,64.469,25.7876,,,1.73,G,gravelly sand,5.77,0.2,0.1,plotXdepth mean,33,5,4,0.2,33.0,0.1,6.5,0.2,0.7,2.7,17.3,0.0,0.2,0.00,15
BS42C,BS42C.2,Oe,Oe,,,L14-0114,37.46,,,,,,16.65,,,,,,47.0,UMBS,,,,,,,,,,,,,,,8
BS42C,BS42C.2,A,A,,,L14-0115,214.11,16.32,,18.14,7.256,,95.16,,,sand,3.72,37,40.7,UMBS,681,153,100,10.2,25.3,1.4,7.0,9.7,7.1,30.9,10.5,5.8,10.4,3.41,39
BS42C,BS42C.2,0--15,0--15,15,318.4,L14-0116,367.9859625,0.607,0.57,32.27,12.908,,,1.20,M,,,,0.6,JML,,,,,,,,,,,,,,1.29,11
BS42C,BS42C.2,15--30,15--30,15,318.4,L14-0117,448.7823579,0.585,0.208,33.335,13.334,,,1.47,M,gravelly sand,5.04,0.5,0.4,UMBS,10,12,4,0.3,84.0,0.2,11.0,0.2,1.5,17.6,0.8,0.0,0.1,1.34,9
