Date,Starred,Plot,Distance (m),Azimuth,Unit Circle  (Á),Unit Circle (radians),Species,Status,DBH (cm),Height (m) estimate,Tag #,Notes,Plot Center X,Plot Center Y,Tree X,Tree Y,Random Number,Volume estimate (cm^3),Biomass estimate (g),Biomass estimate (kg)
6/10/2014,,AC103,10,115,-25,-0.436332313,POGR,X/D,34.3,,1375,,601798.5479,555893.9453,601807.611,555889.7191,0.632580926,,,561.9667034
7/16/2014,,BP36#1,12.5,345,-255,-4.450589593,POGR,X/C,31.9,,3643,,601242.1035,557182.9114,601238.8683,557194.9855,,,,473.8968349
6/13/2014,,BS40F,17.5,102,-12,-0.20943951,POGR,X/C,30.3,,1068,,603552.0259,556477.1673,603569.1435,556473.5289,0.662706307,,,419.9236643
6/10/2014,Y,AC104,17,119,-29,-0.506145483,POGR,X/C,29,,1298,,601805.5138,555849.6073,601820.3824,555841.3655,0.304400285,,,378.8081171
6/12/2014,Y,AC107,12.5,269,-179,-3.124139361,POGR,X/C,28.7,,1187,One branch with fruit,600711.1942,557041.0116,600698.6961,557040.7935,0.089147735,,,369.6641562
6/10/2014,Y,AC104,12.5,23,67,1.169370599,POGR,X/D,25.4,,1326,,601805.5138,555849.6073,601810.398,555861.1136,0.179028723,,,277.4308346
6/13/2014,,CP1,8.5,124,-34,-0.593411946,FAGR,X/O,22.1,,1004,,602530.7988,549490.5038,602537.8456,549485.7507,0.769990383,,,241.0260406
7/16/2014,Y,BP36#2,14,180,-90,-1.570796327,POGR,X/O,21.8,,3741,,601186.2253,557210.9029,601186.2253,557196.9029,,,,193.7231534
6/10/2014,,AC104,11.5,50,40,0.698131701,POGR,X/D,21.7,,1321,,601805.5138,555849.6073,601814.3233,555856.9993,0.966953819,,,191.6414921
7/28/2014,,BS40E,3.5,208,-118,-2.059488517,POGR,X/O,19.5,,1946,,603520.0525,556522.2025,603518.4094,556519.1122,,,,149.0732744
7/16/2014,Y,BP36#1,14,310,-220,-3.839724354,POGR,X/C,18,,3557,,601242.1035,557182.9114,601231.3789,557191.9104,,,,123.5138882
7/16/2014,Y,BP36#1,13.5,195,-105,-1.832595715,POGR,X/O,17.9,,3586,,601242.1035,557182.9114,601238.6095,557169.8714,,,,121.9075247
,,CP2,8,78,12,0.20943951,ACSA,X/O,15.8,,1471,,602508.3347,549430.1294,602516.1598,549431.7927,0.318748247,,,109.1012451
7/16/2014,Y,BP36#1,13,185,-95,-1.658062789,POGR,X/O,16.5,,3591,,601242.1035,557182.9114,601240.9705,557169.9609,,,,100.6746743
7/16/2014,Y,BP36#1,12.5,5,85,1.483529864,POGR,X/C,16.2,,3620,,601242.1035,557182.9114,601243.193,557195.3638,,,,96.42615337
7/16/2014,,BP36#2,13.5,0,90,1.570796327,POGR,X/O,14.1,,2288,,601186.2253,557210.9029,601186.2253,557224.4029,,,,69.58434315
7/28/2014,,BS42A,10.5,245,-155,-2.705260341,PIST,X/O,17.5,,3152,,596264.1001,558850.3064,596254.5838,558845.8689,,,,64.50874329
7/16/2014,Y,BP36#2,16.5,253,-163,-2.844886681,POGR,X/O,13.5,,3716,,601186.2253,557210.9029,601170.4463,557206.0788,,,,62.82532592
7/28/2014,,BS42A,12,280,-190,-3.316125579,PIST,X/O,17.1,,819,Old tag 151,596264.1001,558850.3064,596252.2824,558852.3901,,,,60.78209335
7/19/2014,Y,BP54#2,14,82,8,0.13962634,POGR,X/C,12.6,,3195,,601246.9375,557028.522,601260.8013,557030.4705,,,,53.42286414
7/19/2014,Y,BP54#1,16,128,-38,-0.663225116,POGR,X/C,12.6,,3267,,601269.8582,557011.1116,601282.4664,557001.261,,,,53.42286414
7/16/2014,,BP36#2,14.5,75,15,0.261799388,POGR,X/O,12.4,,3791,,601186.2253,557210.9029,601200.2313,557214.6558,,,,51.45158249
6/18/2014,,CP3,12.5,151,-61,-1.064650844,FAGR,X/O,11.2,,1426,,602524.998,549414.8435,602531.0581,549403.9107,0.212759546,,,50.153356
6/19/2014,,BF8,12.5,25,65,1.134464014,POGR,X/O,12.2,16,1404,,601128.2237,557322.2064,601133.5065,557333.5352,0.689334122,,,49.52275435
,,CP2,5,248,-158,-2.757620218,FAGR,X/O,10.8,,1892,,602508.3347,549430.1294,602503.6987,549428.2564,0.114377336,,,46.11263929
,,PSA1,12,115,-25,-0.436332313,POGR,X/C,11.7,,2814,,601132.231,557218.9223,601143.1067,557213.8509,0.162445712,,,44.88483148
7/17/2014,,PSA1,15.5,5,85,1.483529864,POGR,X/C,11.5,,2204,,601132.231,557218.9223,601133.5819,557234.3633,0.783760949,,,43.10267724
6/13/2014,,BS40F,9.5,301,-211,-3.682644722,PIST,X/O,14.9,,1027,,603552.0259,556477.1673,603543.8828,556482.0602,0.866301749,,,42.64371428
7/16/2014,,BP36#2,13.5,110,-20,-0.34906585,POGR,X/O,11.4,,3780,,601186.2253,557210.9029,601198.9112,557206.2856,,,,42.22712178
6/25/2014,,PSA3,14,105,-15,-0.261799388,POGR,X/O,11.3,8,1666,,600940.4551,557202.4978,600953.978,557198.8743,0.247801703,,,41.36187212
7/16/2014,Y,BP36#1,14,175,-85,-1.483529864,POGR,X/O,10.8,,3593,,601242.1035,557182.9114,601243.3237,557168.9647,,,,37.1890943
,Y,BF7,14.5,90,0,0,QURU,X/O,11.7,,1739,,601129.7386,557276.6685,601144.2386,557276.6685,,,,36.50814284
7/18/2014,,BP80#3,14,325,-235,-4.101523742,POGR,X/C,10.6,,3388,,601053.3482,557124.3038,601045.3182,557135.7719,,,,35.5909994
7/14/2014,,DNR1,9.5,60,30,0.523598776,BEPA,X/C,12,,2383,,608553.2801,553517.8104,608561.5073,553522.5604,0.722502584,,,34.83680349
7/19/2014,Y,BP54#1,16,232,-142,-2.478367538,POGR,X/C,10.3,,3076,,601269.8582,557011.1116,601257.2501,557001.261,,,,33.26912446
7/19/2014,Y,BP54#1,16,129,-39,-0.680678408,POGR,X/O,10.3,,3266,,601269.8582,557011.1116,601282.2926,557001.0425,,,,33.26912446
7/16/2014,,BP36#1,9.5,155,-65,-1.134464014,POGR,X/O,10.2,,3641,,601242.1035,557182.9114,601246.1184,557174.3015,,,,32.51510379
,Y,BF7,15,215,-125,-2.181661565,POGR,X/O,10.1,6.5,1706,,601129.7386,557276.6685,601121.135,557264.3812,,,,31.77099566
7/19/2014,Y,BP54#1,17,350,-260,-4.537856055,POGR,X/C,10,,3340,,601269.8582,557011.1116,601266.9062,557027.8533,,,,31.03676594
7/19/2014,Y,BP54#1,13.5,254.5,-164.5,-2.87106662,POGR,X/C,9.9,,3087,,601269.8582,557011.1116,601256.8492,557007.5039,,,,30.31238033
6/25/2014,,PSA3,3.5,30,60,1.047197551,POGR,X/C,9.9,,1566,,600940.4551,557202.4978,600942.2051,557205.5289,0.665505957,,,30.31238033
,,PSA2,15.5,170,-80,-1.396263402,POGR,X/O,9.9,,2623,,601068.5564,557197.893,601071.2479,557182.6285,0.205161321,,,30.31238033
7/19/2014,Y,BP54#2,14.5,230,-140,-2.443460953,POGR,X/C,9.7,,3041,,601246.9375,557028.522,601235.8299,557019.2016,,,,28.89300297
6/19/2014,,BF8,16,55,35,0.610865238,QURU,X/O,10.6,9.5,1867,,601128.2237,557322.2064,601141.3302,557331.3836,0.127701607,,,27.76299781
6/18/2014,,CP3,9.5,278,-188,-3.281218994,ACSA,X/O,8.8,,1876,,602524.998,549414.8435,602515.5904,549416.1656,0.60844851,,,27.67875481
,,PSA2,15,100,-10,-0.174532925,POGR,X/O,9.5,10.5,2676,DYING,601068.5564,557197.893,601083.3285,557195.2883,0.904880689,,,27.51258446
6/19/2014,,BF8,16,55,35,0.610865238,QURU,X/O,10.5,10.5,1864,,601128.2237,557322.2064,601141.3302,557331.3836,0.906903358,,,27.04266412
6/25/2014,,PSA3,17,155,-65,-1.134464014,POGR,X/O,9.4,10.5,1615,,600940.4551,557202.4978,600947.6396,557187.0906,0.547069378,,,26.83689651
7/17/2014,,PSA1,9,217,-127,-2.21656815,POGR,X/O,9.4,,3931,,601132.231,557218.9223,601126.8147,557211.7346,0.97170296,,,26.83689651
,,PSA2,14,160,-70,-1.221730476,POGR,X/O,9.4,12,2642,,601068.5564,557197.893,601073.3447,557184.7373,0.88161379,,,26.83689651
7/28/2014,,BS40X,17,62,28,0.488692191,PIST,X/O,12.4,,2937,,603483.4147,556566.0496,603498.4249,556574.0306,,,,26.58158478
,,PSA2,16.5,285,-195,-3.403392041,QURU,X/O,10.3,,2866,,601068.5564,557197.893,601052.6186,557202.1635,0.255136462,,,25.63809964
,,PSA1,8,125,-35,-0.610865238,POGR,X/C,9,,2811,,601132.231,557218.9223,601138.7842,557214.3337,0.247020553,,,24.23011692
7/16/2014,,BP36#2,12,100,-10,-0.174532925,POGR,X/O,9,,3775,,601186.2253,557210.9029,601198.043,557208.8191,,,,24.23011692
7/31/2014,,BP80#1,16,37,53,0.925024504,POGR,X/O,8.9,,3126,,601072.9207,557072.3892,601082.5497,557085.1674,,,,23.60223329
6/11/2014,Y,AC107,11.5,34,56,0.977384381,PIST,X/O,11.8,,1245,,600711.1942,557041.0116,600717.6249,557050.5456,0.903808369,,,23.39637151
7/17/2014,,PSA1,10,119,-29,-0.506145483,POGR,X/O,8.8,,3974,,601132.231,557218.9223,601140.9772,557214.0742,0.704616878,,,22.98380054
7/11/2014,,DNR2,10,335,-245,-4.276056667,POGR,X/C,8.5,,2192,,608548.3388,553577.7356,608544.1126,553586.7986,0.076034748,,,21.18483339
7/19/2014,Y,BP54#2,13,182,-92,-1.605702912,POGR,X/C,8.4,3.5,3026,,601246.9375,557028.522,601246.4838,557015.53,,,,20.60382856
6/12/2014,,BS42C,10.5,83,7,0.122173048,PIRE,X/O,8.4,,1142,OT#90,596222.1378,558838.5495,596232.5595,558839.8291,0.0693465,,,45.91009456
7/14/2014,,DNR3,13,85,5,0.087266463,POGR,X/C,8.3,,2411,,608632.0311,553571.4033,608644.9816,553572.5363,0.325042572,,,20.03208538
7/11/2014,,DNR2,18,115,-25,-0.436332313,POGR,X/O,8.3,,2032,,608548.3388,553577.7356,608564.6523,553570.1284,0.894817984,,,20.03208538
7/19/2014,Y,BP54#1,16.5,20,70,1.221730476,POGR,X/C,8.1,,3344,,601269.8582,557011.1116,601275.5016,557026.6165,,,,18.9162288
7/28/2014,,BS42B,16,355,-265,-4.625122518,PIRE,X/O,17,,2769,Old tag 413,596249.5439,558883.4205,596248.1494,558899.3596,,,,17.65166774
7/17/2014,,BP80#2,10,33,57,0.994837674,POGR,X/O,8,,3999,,601106.5807,557115.1601,601112.0271,557123.5468,,,,18.37203705
7/28/2014,,BS42B,1.5,195,-105,-1.832595715,PIRE,X/O,9.5,,2771,Old tag 360,596249.5439,558883.4205,596249.1557,558881.9716,,,,10.04639925
7/28/2014,,BS40E,16,0,90,1.570796327,PIRE,X/O,15,,1960,,603520.0525,556522.2025,603520.0525,556538.2025,,,,39.81918259
6/12/2014,,BS42C,17,283,-193,-3.368485456,PIRE,X/O,9.2,,1102,,596222.1378,558838.5495,596205.5735,558842.3736,0.696180677,,,28.56834175
6/12/2014,,BS42C,11.5,33,57,0.994837674,PIRE,X/O,9.7,,1154,OT#107,596222.1378,558838.5495,596228.4011,558848.1942,0.56369494,,,21.43914521
6/12/2014,,BS42C,9.5,100,-10,-0.174532925,PIRE,X/O,10.7,,1141,OT#92,596222.1378,558838.5495,596231.4934,558836.8998,0.910557163,,,16.77353372
6/12/2014,,BS42C,18,96,-6,-0.104719755,PIRE,X/O,8.5,,1139,OT#86,596222.1378,558838.5495,596240.0392,558836.668,0.570466093,,,12.78085999
6/10/2014,Y,AC103,11.5,105,-15,-0.261799388,ACRU,X/O,9.5,,1377,,601798.5479,555893.9453,601809.6561,555890.9688,0.725253933,,,16.21261157
6/13/2014,,BS40F,17.5,221,-131,-2.28638132,PIST,X/O,10.2,,1043,,603552.0259,556477.1673,603540.5448,556463.9599,0.166781594,,,16.08024662
7/28/2014,,BS40E,11.5,158,-68,-1.186823891,PIRE,X/O,10.6,,1913,,603520.0525,556522.2025,603524.3605,556511.5399,,,,13.52731099
7/14/2014,,DNR3,18,105,-15,-0.261799388,BEPA,X/C,9,,2405,,608632.0311,553571.4033,608649.4177,553566.7445,0.146575748,,,15.39482325
7/28/2014,,BS40E,16.5,207,-117,-2.042035225,PIST,X/O,10,,1947,,603520.0525,556522.2025,603512.5617,556507.5009,,,,15.28129512
7/17/2014,,PSA1,10,220,-130,-2.268928028,QURU,X/O,8.5,,3929,,601132.231,557218.9223,601125.8031,557211.2619,0.619743952,,,15.04989676
7/14/2014,,DNR3,18,105,-15,-0.261799388,BEPA,X/C,8.6,,2297,,608632.0311,553571.4033,608649.4177,553566.7445,0.296747529,,,13.53091759
7/14/2014,,DNR1,9.5,60,30,0.523598776,BEPA,X/O,8.6,,2378,,608553.2801,553517.8104,608561.5073,553522.5604,0.971286101,,,13.53091759
7/28/2014,,BS40X,6.5,59,31,0.541052068,PIRE,X/O,10.5,,2941,,603483.4147,556566.0496,603488.9863,556569.3973,,,,32.2829477
7/19/2014,Y,BP54#2,16.5,187,-97,-1.692969374,QURU,X/O,8,,3023,,601246.9375,557028.522,601244.9267,557012.145,,,,12.72075365
7/14/2014,,DNR1,14,45,45,0.785398163,BEPA,X/C,8.1,,963,,608553.2801,553517.8104,608563.1796,553527.7099,0.254639636,,,11.41518406
,,PSA2,4,290,-200,-3.490658504,PIST,X/O,8.3,,2871,,601068.5564,557197.893,601064.7976,557199.2611,0.433498841,,,9.460359361
7/28/2014,,BS42B,10,350,-260,-4.537856055,PIRE,X,27,11.5,2767,Old tag 383,596249.5439,558883.4205,596247.8075,558893.2685,,6584.385503,4372.503283,4.372503283
6/13/2014,,BS40F,11,99,-9,-0.157079633,BEPA,X,32.1,9.5,1070,,603552.0259,556477.1673,603562.8904,556475.4465,0.208663095,7688.180155,3466.600432,3.466600432
6/10/2014,,AC104,8.5,63,27,0.471238898,POGR,X,22.8,13,1311,,601805.5138,555849.6073,601813.0874,555853.4662,0.539546593,5307.657956,3177.625101,3.177625101
7/17/2014,,PSA1,4.5,190,-100,-1.745329252,PIST,X,42.5,3,3947,"Burned, hollow",601132.231,557218.9223,601131.4496,557214.4907,0.32704841,4255.876298,2826.206497,2.826206497
6/10/2014,,AC104,2,59,31,0.541052068,POGR,X,29.8,6.2,1314,,601805.5138,555849.6073,601807.2282,555850.6373,0.404087242,4324.282907,2588.891376,2.588891376
6/12/2014,Y,AC107,15,327,-237,-4.136430327,POGR,X,19.7,14,1171,,600711.1942,557041.0116,600703.0246,557053.5917,0.861022373,4267.272425,2554.759949,2.554759949
6/12/2014,Y,AC107,12,191,-101,-1.762782545,POGR,X,23.8,8.9,1207,,600711.1942,557041.0116,600708.9045,557029.2321,0.171470473,3959.440328,2370.464916,2.370464916
6/10/2014,,AC104,7.5,75,15,0.261799388,POGR,X,22,8,1310,,601805.5138,555849.6073,601812.7583,555851.5484,0.004600143,3041.061689,1820.643688,1.820643688
6/10/2014,Y,AC104,12,22,68,1.186823891,POGR,X,21.7,8.1,1327,,601805.5138,555849.6073,601810.0091,555860.7335,0.10220888,2995.672743,1793.469923,1.793469923
6/12/2014,Y,AC107,16.5,191,-101,-1.762782545,POGR,X,20.7,7.9,1203,,600711.1942,557041.0116,600708.0459,557024.8148,0.303439599,2658.628546,1591.685989,1.591685989
7/16/2014,Y,BP36#1,12.5,70,20,0.34906585,POGR,X,18.4,9,3606,,601242.1035,557182.9114,601253.8497,557187.1867,,2393.13962,1432.741256,1.432741256
,Y,BF7,18,30,60,1.047197551,QURU,X,12.7,12.5,1755,,601129.7386,557276.6685,601138.7386,557292.2569,,1583.460872,1272.07286,1.27207286
7/19/2014,Y,BP54#2,14,159,-69,-1.204277184,QURU,X,12.6,12,3015,,601246.9375,557028.522,601251.9547,557015.4519,,1496.277749,1202.034322,1.202034322
6/10/2014,,AC103,9,20,70,1.221730476,POGR,X,21.5,5.5,1398,,601798.5479,555893.9453,601801.6261,555902.4025,0.772844252,1996.776656,1195.443956,1.195443956
6/10/2014,Y,AC104,14,153,-63,-1.099557429,POGR,X,16.5,8,1293,,601805.5138,555849.6073,601811.8697,555837.1332,0.698836367,1710.5972,1024.112074,1.024112074
7/28/2014,,BS40E,14.5,335,-245,-4.276056667,BEPA,X,16.7,10,1955,,603520.0525,556522.2025,603513.9246,556535.344,,2190.396938,987.6499793,0.987649979
6/18/2014,,CP3,15,278,-188,-3.281218994,BEAL,X,31.4,1.7,1878,,602524.998,549414.8435,602510.144,549416.9311,0.989384111,1316.430994,874.2044102,0.87420441
7/16/2014,Y,BP36#2,17,290,-200,-3.490658504,POGR,X,16.7,6.5,3682,,601186.2253,557210.9029,601170.2506,557216.7173,,1423.75801,852.3852189,0.852385219
6/19/2014,,BF8,4,145,-55,-0.959931089,QURU,X,10.8,11.5,1838,,601128.2237,557322.2064,601130.518,557318.9298,0.889804767,1053.50168,846.3302876,0.846330288
6/25/2014,,PSA3,15.5,0,90,1.570796327,POGR,X,12.4,11,1529,,600940.4551,557202.4978,600940.4551,557217.9978,0.631483042,1328.391038,795.2902655,0.795290265
7/28/2014,,BS42B,12,235,-145,-2.530727415,PIRE,X,13,9,2796,Old tag 323,596249.5439,558883.4205,596239.7141,558876.5375,,1194.590607,793.2936713,0.793293671
6/12/2014,Y,AC107,11.5,308,-218,-3.804817769,POGR,X,20.4,4,1180,,600711.1942,557041.0116,600702.1321,557048.0917,0.569243393,1307.405199,782.7263194,0.782726319
6/19/2014,,BF8,16,245,-155,-2.705260341,QURU,X,11.2,9.5,1814,,601128.2237,557322.2064,601113.7228,557315.4445,0.796414248,935.9432834,751.8897814,0.751889781
,,PSA2,8.5,255,-165,-2.879793266,POGR,X,14.7,7,2878,,601068.5564,557197.893,601060.346,557195.693,0.391640725,1188.016824,711.2500676,0.711250068
,,BF7,9,340,-250,-4.36332313,QURU,X,12.3,7,1590,,601129.7386,557276.6685,601126.6604,557285.1257,,831.760217,668.1943434,0.668194343
7/19/2014,,BP54#1,6,29,61,1.064650844,QURU,X,9,13,2516,,601269.8582,557011.1116,601272.7671,557016.3593,,827.0242661,664.3897186,0.664389719
6/19/2014,,BF8,13.5,145,-55,-0.959931089,QURU,X,10.4,9.5,1832,,601128.2237,557322.2064,601135.967,557311.1478,0.492353057,807.0123209,648.3131278,0.648313128
7/16/2014,,BP36#1,6.5,330,-240,-4.188790205,POGR,X,30.3,1.5,3654,,601242.1035,557182.9114,601238.8535,557188.5406,,1081.5993,647.5392937,0.647539294
7/16/2014,,BP36#1,2,175,-85,-1.483529864,POGR,X,18.5,4,3633,,601242.1035,557182.9114,601242.2779,557180.919,,1075.210086,643.7141551,0.643714155
6/12/2014,Y,AC107,11.5,265,-175,-3.054326191,POGR,X,17.4,4.5,1188,,600711.1942,557041.0116,600699.738,557040.0093,0.671971724,1070.042166,640.6201894,0.640620189
7/16/2014,,BP36#2,11,315,-225,-3.926990817,BEPA,X,19,5,3709,,601186.2253,557210.9029,601178.4472,557218.6811,,1417.643685,639.2155375,0.639215538
6/19/2014,,BF8,15,130,-40,-0.698131701,QURU,X,9.8,10.5,1847,,601128.2237,557322.2064,601139.7144,557312.5646,0.546957185,792.0112159,636.2619943,0.636261994
6/19/2014,,BF8,13.5,145,-55,-0.959931089,QURU,X,10.3,9.5,1834,,601128.2237,557322.2064,601135.967,557311.1478,0.342993182,791.567466,635.9055079,0.635905508
6/25/2014,,PSA3,13.5,5,85,1.483529864,POGR,X,10.6,11.5,1528,,600940.4551,557202.4978,600941.6317,557215.9464,0.973447819,1014.844383,607.5740018,0.607574002
6/19/2014,,BF8,17.5,295,-205,-3.577924967,QURU,X,9.5,10.5,1791,,601128.2237,557322.2064,601112.3634,557329.6022,0.591785458,744.2629346,597.9034255,0.597903425
7/28/2014,,BS42B,17.5,195,-105,-1.832595715,PIRE,X,11.5,8,2727,Old tag 295,596249.5439,558883.4205,596245.0146,558866.5168,,830.9512569,551.8111139,0.551811114
